city,province,city_province,lng,lat
اسکو,آذربایجان شرقی,"اسکو, استان آذربایجان شرقی",46.11590133,37.91815133
اهر,آذربایجان شرقی,"اهر, استان آذربایجان شرقی",47.06083767,38.47398467
ایلخچی,آذربایجان شرقی,"ایلخچی, استان آذربایجان شرقی",45.97648700,37.93874100
آبش احمد,آذربایجان شرقی,"آبش احمد, استان آذربایجان شرقی",45.97648700,37.93874100
آذرشهر,آذربایجان شرقی,"آذرشهر, استان آذربایجان شرقی",45.97493567,37.76674167
آقکند,آذربایجان شرقی,"آقکند, استان آذربایجان شرقی",48.06207033,37.25644733
باسمنج,آذربایجان شرقی,"باسمنج, استان آذربایجان شرقی",46.47155000,37.99399900
بخشایش,آذربایجان شرقی,"بخشایش, استان آذربایجان شرقی",56.30798300,27.19463500
بستان آباد,آذربایجان شرقی,"بستان آباد, استان آذربایجان شرقی",46.82872567,37.84237967
بناب,آذربایجان شرقی,"بناب, استان آذربایجان شرقی",46.05387100,37.33813900
بناب جدید,آذربایجان شرقی,"بناب جدید, استان آذربایجان شرقی",,
تبریز,آذربایجان شرقی,"تبریز, استان آذربایجان شرقی",46.05387100,37.33813900
ترک,آذربایجان شرقی,"ترک, استان آذربایجان شرقی",47.76815400,37.61820100
ترکمانچای,آذربایجان شرقی,"ترکمانچای, استان آذربایجان شرقی",47.39230033,37.57910733
تسوج,آذربایجان شرقی,"تسوج, استان آذربایجان شرقی",45.36021833,38.31512933
تیکمه داش,آذربایجان شرقی,"تیکمه داش, استان آذربایجان شرقی",45.36021833,38.31512933
جلفا,آذربایجان شرقی,"جلفا, استان آذربایجان شرقی",46.94019833,37.72665333
خاروانا,آذربایجان شرقی,"خاروانا, استان آذربایجان شرقی",45.62766533,38.93720633
خامنه,آذربایجان شرقی,"خامنه, استان آذربایجان شرقی",45.63089367,38.19028367
خراجو,آذربایجان شرقی,"خراجو, استان آذربایجان شرقی",,
خسروشهر,آذربایجان شرقی,"خسروشهر, استان آذربایجان شرقی",,
خضرلو,آذربایجان شرقی,"خضرلو, استان آذربایجان شرقی",45.95920467,37.43056567
خمارلو,آذربایجان شرقی,"خمارلو, استان آذربایجان شرقی",47.03283167,39.15898667
خواجه,آذربایجان شرقی,"خواجه, استان آذربایجان شرقی",46.58601900,38.15541500
دوزدوزان,آذربایجان شرقی,"دوزدوزان, استان آذربایجان شرقی",47.11435733,37.94484133
زرنق,آذربایجان شرقی,"زرنق, استان آذربایجان شرقی",47.08432967,38.09451467
زنوز,آذربایجان شرقی,"زنوز, استان آذربایجان شرقی",45.82897000,38.58974200
سراب,آذربایجان شرقی,"سراب, استان آذربایجان شرقی",47.53626233,37.94236733
سردرود,آذربایجان شرقی,"سردرود, استان آذربایجان شرقی",46.99569133,35.31105533
سهند,آذربایجان شرقی,"سهند, استان آذربایجان شرقی",46.11384600,37.94512900
سیس,آذربایجان شرقی,"سیس, استان آذربایجان شرقی",45.81510033,38.20030133
سیه رود,آذربایجان شرقی,"سیه رود, استان آذربایجان شرقی",46.00456867,38.86773967
